geonames_id	checked_at	http_status_code
49518	2017-11-25T23:41:06-05:00	 400
51537	2017-11-25T23:41:06-05:00	 400
69543	2017-11-25T23:41:06-05:00	 400
99237	2017-11-25T23:41:07-05:00	 400
102358	2017-11-25T23:41:07-05:00	 400
130758	2017-11-25T23:41:07-05:00	 400
146669	2017-11-25T23:41:07-05:00	 400
149590	2017-11-25T23:41:07-05:00	 400
163843	2017-11-25T23:41:07-05:00	 400
174982	2017-11-25T23:41:07-05:00	 400
192950	2017-11-25T23:41:07-05:00	 400
203312	2017-11-25T23:41:07-05:00	 400
223816	2017-11-25T23:41:07-05:00	 400
226074	2017-11-25T23:41:07-05:00	 400
239880	2017-11-25T23:41:07-05:00	 400
241170	2017-11-25T23:41:07-05:00	 400
248816	2017-11-25T23:41:07-05:00	 400
272103	2017-11-25T23:41:07-05:00	 400
285570	2017-11-25T23:41:07-05:00	 400
286963	2017-11-25T23:41:07-05:00	 400
289688	2017-11-25T23:41:07-05:00	 400
290291	2017-11-25T23:41:07-05:00	 400
290557	2017-11-25T23:41:07-05:00	 400
294640	2017-11-25T23:41:07-05:00	 400
298795	2017-11-25T23:41:07-05:00	 400
337996	2017-11-25T23:41:07-05:00	 400
338010	2017-11-25T23:41:07-05:00	 400
357994	2017-11-25T23:41:07-05:00	 400
366755	2017-11-25T23:41:07-05:00	 400
390903	2017-11-25T23:41:07-05:00	 400
433561	2017-11-25T23:41:07-05:00	 400
453733	2017-11-25T23:41:07-05:00	 400
458258	2017-11-25T23:41:07-05:00	 400
587116	2017-11-25T23:41:07-05:00	 400
597427	2017-11-25T23:41:07-05:00	 400
614540	2017-11-25T23:41:07-05:00	 400
617790	2017-11-25T23:41:07-05:00	 400
630336	2017-11-25T23:41:07-05:00	 400
660013	2017-11-25T23:41:07-05:00	 400
690791	2017-11-25T23:41:07-05:00	 400
718075	2017-11-25T23:41:07-05:00	 400
719819	2017-11-25T23:41:07-05:00	 400
732800	2017-11-25T23:41:07-05:00	 400
783754	2017-11-25T23:41:07-05:00	 400
798544	2017-11-25T23:41:07-05:00	 400
798549	2017-11-25T23:41:07-05:00	 400
831053	2017-11-25T23:41:07-05:00	 400
878675	2017-11-25T23:41:07-05:00	 400
895949	2017-11-25T23:41:07-05:00	 400
921929	2017-11-25T23:41:07-05:00	 400
927384	2017-11-25T23:41:07-05:00	 400
932692	2017-11-25T23:41:07-05:00	 400
933860	2017-11-25T23:41:07-05:00	 400
934292	2017-11-25T23:41:07-05:00	 400
934841	2017-11-25T23:41:07-05:00	 400
935317	2017-11-25T23:41:07-05:00	 400
953987	2017-11-25T23:41:07-05:00	 400
1024031	2017-11-25T23:41:08-05:00	 400
1036973	2017-11-25T23:41:08-05:00	 400
1062947	2017-11-25T23:41:08-05:00	 400
1149361	2017-11-25T23:41:08-05:00	 400
1168579	2017-11-25T23:41:08-05:00	 400
1210997	2017-11-25T23:41:08-05:00	 400
1218197	2017-11-25T23:41:08-05:00	 400
1220409	2017-11-25T23:41:08-05:00	 400
1227603	2017-11-25T23:41:08-05:00	 400
1252634	2017-11-25T23:41:08-05:00	 400
1269750	2017-11-25T23:41:08-05:00	 400
