occurrenceID	taxonID
CT100818	T100818
CT100820	T100820
CT100822	T100822
CT100823	T100823
CT100827	T100827
CT100830	T100830
CT100831	T100831
CT100833	T100833
CT100836	T100836
CT100839	T100839
CT100845	T100845
CT100847	T100847
CT100851	T100851
CT100853	T100853
CT100860	T100860
CT100862	T100862
CT100863	T100863
CT100865	T100865
CT100869	T100869
CT100871	T100871
CT100872	T100872
CT100873	T100873
CT100874	T100874
CT100877	T100877
CT100884	T100884
CT100886	T100886
CT100891	T100891
CT100892	T100892
CT100893	T100893
CT100897	T100897
CT100899	T100899
CT100902	T100902
CT100903	T100903
CT100904	T100904
CT100905	T100905
CT100909	T100909
CT100911	T100911
CT100912	T100912
CT100917	T100917
CT100920	T100920
CT100924	T100924
CT100925	T100925
CT100926	T100926
CT100930	T100930
CT100934	T100934
CT100938	T100938
CT100941	T100941
CT100945	T100945
CT100946	T100946
CT100948	T100948
CT100950	T100950
CT100951	T100951
CT100953	T100953
CT100956	T100956
CT100958	T100958
CT100960	T100960
CT100962	T100962
CT100964	T100964
CT100966	T100966
CT100968	T100968
CT100969	T100969
CT100970	T100970
CT100972	T100972
CT100976	T100976
CT100978	T100978
CT100981	T100981
CT100983	T100983
CT100986	T100986
CT100987	T100987
CT100989	T100989
CT100992	T100992
CT100993	T100993
CT100995	T100995
CT100996	T100996
CT100999	T100999
CT101000	T101000
CT101001	T101001
CT101004	T101004
CT101007	T101007
CT101008	T101008
CT101009	T101009
CT101013	T101013
CT101016	T101016
CT101017	T101017
CT101018	T101018
CT101019	T101019
CT101020	T101020
CT101021	T101021
CT101023	T101023
CT101024	T101024
CT101026	T101026
CT101028	T101028
CT101031	T101031
CT101035	T101035
CT101036	T101036
CT101040	T101040
CT101041	T101041
CT101042	T101042
CT101046	T101046
CT101050	T101050
CT101054	T101054
CT101057	T101057
CT101059	T101059
CT101060	T101060
CT101064	T101064
CT101065	T101065
CT101068	T101068
CT101071	T101071
CT101072	T101072
CT101074	T101074
CT101075	T101075
CT101078	T101078
CT101080	T101080
CT101083	T101083
CT101084	T101084
CT101085	T101085
CT101087	T101087
CT101093	T101093
CT101095	T101095
CT101097	T101097
CT101098	T101098
CT101099	T101099
CT101103	T101103
CT101104	T101104
CT101108	T101108
CT101110	T101110
CT101111	T101111
CT101114	T101114
CT101116	T101116
CT101118	T101118
CT101120	T101120
CT101122	T101122
CT101123	T101123
CT101125	T101125
CT101127	T101127
CT101129	T101129
CT101131	T101131
CT101133	T101133
CT101136	T101136
CT101137	T101137
CT101140	T101140
CT101141	T101141
CT101142	T101142
CT101144	T101144
CT101146	T101146
CT101149	T101149
CT101151	T101151
CT101152	T101152
CT101155	T101155
CT101157	T101157
CT101158	T101158
CT101159	T101159
CT101165	T101165
CT101167	T101167
CT101168	T101168
CT101170	T101170
CT101171	T101171
CT101172	T101172
CT101176	T101176
CT101178	T101178
CT101181	T101181
CT101184	T101184
CT101188	T101188
CT101190	T101190
CT101194	T101194
CT101196	T101196
CT101197	T101197
CT101200	T101200
CT101201	T101201
CT101202	T101202
CT101204	T101204
CT101210	T101210
CT101212	T101212
CT101214	T101214
CT101217	T101217
CT101219	T101219
CT101221	T101221
CT101223	T101223
CT101225	T101225
CT101227	T101227
CT101230	T101230
CT101231	T101231
CT101234	T101234
CT101236	T101236
CT101237	T101237
CT101239	T101239
CT101242	T101242
CT101245	T101245
CT101247	T101247
CT101248	T101248
CT101249	T101249
CT101250	T101250
CT101253	T101253
CT101256	T101256
CT101257	T101257
CT101258	T101258
CT101260	T101260
CT101263	T101263
CT101264	T101264
CT101265	T101265
CT101268	T101268
CT101270	T101270
CT101272	T101272
CT101276	T101276
CT101278	T101278
CT101282	T101282
CT101283	T101283
CT101284	T101284
CT101285	T101285
CT101287	T101287
CT101288	T101288
CT101290	T101290
CT101295	T101295
CT101299	T101299
CT101301	T101301
CT101302	T101302
CT101303	T101303
CT101307	T101307
CT101308	T101308
CT101309	T101309
CT101311	T101311
CT101315	T101315
CT101317	T101317
CT101319	T101319
CT101321	T101321
CT101325	T101325
CT101328	T101328
CT101329	T101329
CT101331	T101331
CT101333	T101333
CT101334	T101334
CT101337	T101337
CT101340	T101340
CT101342	T101342
CT101344	T101344
CT101347	T101347
CT101348	T101348
CT101350	T101350
CT101353	T101353
CT101357	T101357
CT101360	T101360
CT101363	T101363
CT101364	T101364
CT101366	T101366
CT101367	T101367
CT101371	T101371
CT101373	T101373
CT101375	T101375
CT101376	T101376
CT101378	T101378
CT101379	T101379
CT101383	T101383
CT101384	T101384
CT101387	T101387
CT101388	T101388
CT101389	T101389
CT101391	T101391
CT101392	T101392
CT101394	T101394
CT101396	T101396
CT101399	T101399
CT101403	T101403
CT101404	T101404
CT101410	T101410
CT101412	T101412
CT101413	T101413
CT101416	T101416
CT101418	T101418
CT101419	T101419
CT101421	T101421
CT101423	T101423
CT101424	T101424
CT101426	T101426
CT101428	T101428
CT101429	T101429
CT101430	T101430
CT101431	T101431
CT101434	T101434
CT101435	T101435
CT101436	T101436
CT101439	T101439
CT101441	T101441
CT101444	T101444
CT101445	T101445
CT101446	T101446
CT101449	T101449
CT101452	T101452
CT101455	T101455
CT101457	T101457
CT101458	T101458
CT101460	T101460
CT101461	T101461
CT101463	T101463
CT101464	T101464
CT101465	T101465
CT101468	T101468
CT101469	T101469
CT101472	T101472
CT101474	T101474
CT101476	T101476
CT101478	T101478
CT101481	T101481
CT101483	T101483
CT101485	T101485
CT101486	T101486
CT101491	T101491
CT101493	T101493
CT101495	T101495
CT101497	T101497
CT101501	T101501
CT101503	T101503
CT101504	T101504
CT101505	T101505
CT101508	T101508
CT101511	T101511
CT101513	T101513
CT101515	T101515
CT101520	T101520
CT101521	T101521
CT101522	T101522
CT101524	T101524
CT101530	T101530
CT101533	T101533
CT101537	T101537
CT101539	T101539
CT101542	T101542
CT101543	T101543
CT101545	T101545
CT101547	T101547
CT101548	T101548
CT101551	T101551
CT101552	T101552
CT101554	T101554
CT101555	T101555
CT101556	T101556
CT101557	T101557
CT101558	T101558
CT101559	T101559
CT101560	T101560
CT101562	T101562
CT101564	T101564
CT101566	T101566
CT101570	T101570
CT101573	T101573
CT101574	T101574
CT101575	T101575
CT101579	T101579
CT101580	T101580
CT101582	T101582
CT101583	T101583
CT101584	T101584
CT101588	T101588
CT101589	T101589
CT101591	T101591
CT101592	T101592
CT101593	T101593
CT101594	T101594
CT101596	T101596
CT101597	T101597
CT101599	T101599
CT101602	T101602
CT101603	T101603
CT101604	T101604
CT101605	T101605
CT101606	T101606
CT101610	T101610
CT101614	T101614
CT101617	T101617
CT101619	T101619
CT101620	T101620
CT101622	T101622
CT101623	T101623
CT101625	T101625
CT101627	T101627
CT101628	T101628
CT101629	T101629
CT101632	T101632
CT101636	T101636
CT101638	T101638
CT101641	T101641
CT101643	T101643
CT101645	T101645
CT101646	T101646
CT101647	T101647
CT101649	T101649
CT101651	T101651
CT101653	T101653
CT101655	T101655
CT101658	T101658
CT101659	T101659
CT101662	T101662
CT101664	T101664
CT101667	T101667
CT101668	T101668
CT101669	T101669
CT101670	T101670
CT101671	T101671
CT101672	T101672
CT101673	T101673
CT101674	T101674
CT101675	T101675
CT101677	T101677
CT101679	T101679
CT101681	T101681
CT101682	T101682
CT101683	T101683
CT101685	T101685
CT101686	T101686
CT101688	T101688
CT101690	T101690
CT101691	T101691
CT101694	T101694
CT101695	T101695
CT101696	T101696
CT101697	T101697
CT101699	T101699
CT101700	T101700
CT101703	T101703
CT101704	T101704
CT101705	T101705
CT101706	T101706
CT101707	T101707
CT101708	T101708
CT101710	T101710
CT101712	T101712
CT101714	T101714
CT101716	T101716
CT101720	T101720
CT101721	T101721
CT101722	T101722
CT101725	T101725
CT101729	T101729
CT101730	T101730
CT101732	T101732
CT101734	T101734
CT101735	T101735
