occurrenceID	taxonID
CT100881	T100881
CT100885	T100885
CT100889	T100889
CT100892	T100892
CT100894	T100894
CT100895	T100895
CT100898	T100898
CT100900	T100900
CT100902	T100902
CT100904	T100904
CT100907	T100907
CT100910	T100910
CT100912	T100912
CT100914	T100914
CT100916	T100916
CT100918	T100918
CT100921	T100921
CT100925	T100925
CT100927	T100927
CT100929	T100929
CT100930	T100930
CT100933	T100933
CT100935	T100935
CT100937	T100937
CT100940	T100940
CT100941	T100941
CT100944	T100944
CT100947	T100947
CT100948	T100948
CT100952	T100952
CT100955	T100955
CT100958	T100958
CT100960	T100960
CT100964	T100964
CT100967	T100967
CT100970	T100970
CT100972	T100972
CT100974	T100974
CT100975	T100975
CT100976	T100976
CT100978	T100978
CT100981	T100981
CT100982	T100982
CT100985	T100985
CT100986	T100986
CT100989	T100989
CT100992	T100992
CT100995	T100995
CT100997	T100997
CT101000	T101000
CT101004	T101004
CT101007	T101007
CT101010	T101010
CT101011	T101011
CT101015	T101015
CT101017	T101017
CT101020	T101020
CT101022	T101022
CT101028	T101028
CT101029	T101029
CT101031	T101031
CT101033	T101033
CT101037	T101037
CT101041	T101041
CT101044	T101044
CT101046	T101046
CT101048	T101048
CT101052	T101052
CT101054	T101054
CT101057	T101057
CT101061	T101061
CT101062	T101062
CT101063	T101063
CT101066	T101066
CT101068	T101068
CT101071	T101071
CT101075	T101075
CT101077	T101077
CT101081	T101081
CT101082	T101082
CT101084	T101084
CT101087	T101087
CT101089	T101089
CT101091	T101091
CT101092	T101092
CT101093	T101093
CT101096	T101096
CT101100	T101100
CT101101	T101101
CT101105	T101105
CT101108	T101108
CT101111	T101111
CT101112	T101112
CT101113	T101113
CT101116	T101116
CT101117	T101117
CT101119	T101119
CT101120	T101120
CT101122	T101122
CT101125	T101125
CT101127	T101127
CT101129	T101129
CT101132	T101132
CT101135	T101135
CT101137	T101137
CT101140	T101140
CT101142	T101142
CT101144	T101144
CT101146	T101146
CT101147	T101147
CT101150	T101150
CT101151	T101151
CT101156	T101156
CT101158	T101158
CT101159	T101159
CT101161	T101161
CT101163	T101163
CT101164	T101164
CT101166	T101166
CT101169	T101169
CT101171	T101171
CT101173	T101173
CT101175	T101175
CT101177	T101177
CT101180	T101180
CT101181	T101181
CT101184	T101184
CT101188	T101188
CT101190	T101190
CT101193	T101193
CT101195	T101195
CT101198	T101198
CT101199	T101199
CT101200	T101200
CT101201	T101201
CT101203	T101203
CT101205	T101205
CT101206	T101206
CT101207	T101207
CT101208	T101208
CT101212	T101212
CT101213	T101213
CT101215	T101215
CT101217	T101217
CT101218	T101218
CT101220	T101220
CT101222	T101222
CT101224	T101224
CT101225	T101225
CT101227	T101227
CT101228	T101228
CT101231	T101231
CT101232	T101232
CT101234	T101234
CT101236	T101236
CT101238	T101238
CT101242	T101242
CT101244	T101244
CT101247	T101247
CT101248	T101248
CT101249	T101249
CT101250	T101250
CT101253	T101253
CT101255	T101255
CT101257	T101257
CT101260	T101260
CT101263	T101263
CT101265	T101265
CT101267	T101267
CT101270	T101270
CT101272	T101272
CT101274	T101274
CT101278	T101278
CT101282	T101282
CT101284	T101284
CT101286	T101286
CT101287	T101287
CT101290	T101290
CT101292	T101292
CT101293	T101293
CT101295	T101295
CT101296	T101296
CT101298	T101298
CT101299	T101299
CT101301	T101301
CT101303	T101303
CT101304	T101304
CT101306	T101306
CT101307	T101307
CT101308	T101308
CT101310	T101310
CT101313	T101313
CT101316	T101316
CT101320	T101320
CT101322	T101322
CT101323	T101323
CT101327	T101327
CT101329	T101329
CT101331	T101331
CT101333	T101333
CT101335	T101335
CT101336	T101336
CT101338	T101338
CT101340	T101340
CT101342	T101342
CT101344	T101344
CT101345	T101345
CT101347	T101347
CT101348	T101348
CT101349	T101349
CT101350	T101350
CT101354	T101354
CT101356	T101356
CT101358	T101358
CT101362	T101362
CT101365	T101365
CT101367	T101367
CT101369	T101369
CT101370	T101370
CT101373	T101373
CT101374	T101374
CT101376	T101376
CT101377	T101377
CT101379	T101379
CT101380	T101380
CT101381	T101381
CT101383	T101383
CT101384	T101384
CT101385	T101385
CT101386	T101386
CT101388	T101388
CT101390	T101390
CT101391	T101391
CT101393	T101393
CT101395	T101395
CT101397	T101397
CT101398	T101398
CT101399	T101399
CT101401	T101401
CT101402	T101402
CT101404	T101404
CT101406	T101406
CT101408	T101408
CT101409	T101409
CT101410	T101410
CT101411	T101411
CT101415	T101415
CT101419	T101419
CT101421	T101421
CT101422	T101422
CT101423	T101423
CT101426	T101426
CT101427	T101427
CT101428	T101428
CT101429	T101429
CT101431	T101431
CT101432	T101432
CT101433	T101433
CT101435	T101435
CT101436	T101436
CT101437	T101437
CT101438	T101438
CT101439	T101439
CT101441	T101441
CT101443	T101443
CT101445	T101445
CT101446	T101446
CT101447	T101447
CT101449	T101449
CT101450	T101450
CT101454	T101454
CT101457	T101457
CT101459	T101459
CT101462	T101462
CT101463	T101463
CT101464	T101464
CT101466	T101466
CT101467	T101467
CT101471	T101471
CT101474	T101474
CT101477	T101477
CT101478	T101478
CT101481	T101481
CT101482	T101482
CT101485	T101485
CT101487	T101487
CT101488	T101488
CT101489	T101489
CT101490	T101490
CT101491	T101491
CT101492	T101492
CT101493	T101493
CT101494	T101494
CT101495	T101495
CT101496	T101496
CT101497	T101497
