occurrenceID	taxonID
CT100846	T100846
CT100847	T100847
CT100849	T100849
CT100850	T100850
CT100851	T100851
CT100853	T100853
CT100855	T100855
CT100859	T100859
CT100861	T100861
CT100862	T100862
CT100864	T100864
CT100866	T100866
CT100868	T100868
CT100869	T100869
CT100872	T100872
CT100875	T100875
CT100877	T100877
CT100878	T100878
CT100881	T100881
CT100883	T100883
CT100885	T100885
CT100887	T100887
CT100888	T100888
CT100889	T100889
CT100892	T100892
CT100895	T100895
CT100896	T100896
CT100898	T100898
CT100900	T100900
CT100901	T100901
CT100902	T100902
CT100904	T100904
CT100906	T100906
CT100909	T100909
CT100912	T100912
CT100914	T100914
CT100915	T100915
CT100919	T100919
CT100922	T100922
CT100925	T100925
CT100930	T100930
CT100932	T100932
CT100933	T100933
CT100935	T100935
CT100937	T100937
CT100940	T100940
CT100943	T100943
CT100944	T100944
CT100947	T100947
CT100949	T100949
CT100953	T100953
CT100954	T100954
CT100961	T100961
CT100962	T100962
CT100964	T100964
CT100968	T100968
CT100970	T100970
CT100972	T100972
CT100974	T100974
CT100976	T100976
CT100978	T100978
CT100980	T100980
CT100987	T100987
CT100988	T100988
CT100989	T100989
CT100991	T100991
CT100993	T100993
CT100995	T100995
CT101000	T101000
CT101003	T101003
CT101005	T101005
CT101007	T101007
CT101011	T101011
CT101013	T101013
CT101014	T101014
CT101017	T101017
CT101019	T101019
CT101021	T101021
CT101024	T101024
CT101025	T101025
CT101027	T101027
CT101028	T101028
CT101030	T101030
CT101031	T101031
CT101033	T101033
CT101037	T101037
CT101041	T101041
CT101042	T101042
CT101043	T101043
CT101046	T101046
CT101047	T101047
CT101048	T101048
CT101050	T101050
CT101052	T101052
CT101054	T101054
CT101055	T101055
CT101057	T101057
CT101062	T101062
CT101066	T101066
CT101069	T101069
CT101070	T101070
CT101071	T101071
CT101072	T101072
CT101073	T101073
CT101076	T101076
CT101079	T101079
CT101081	T101081
CT101083	T101083
CT101085	T101085
CT101086	T101086
CT101087	T101087
CT101088	T101088
CT101092	T101092
CT101094	T101094
CT101095	T101095
CT101098	T101098
CT101099	T101099
CT101100	T101100
CT101101	T101101
CT101103	T101103
CT101104	T101104
CT101105	T101105
CT101108	T101108
CT101111	T101111
CT101114	T101114
CT101115	T101115
CT101117	T101117
CT101119	T101119
CT101120	T101120
CT101121	T101121
CT101122	T101122
CT101123	T101123
CT101126	T101126
CT101127	T101127
CT101128	T101128
CT101129	T101129
CT101131	T101131
CT101133	T101133
CT101135	T101135
CT101137	T101137
CT101141	T101141
CT101143	T101143
CT101145	T101145
CT101148	T101148
CT101149	T101149
CT101151	T101151
CT101153	T101153
CT101154	T101154
CT101158	T101158
CT101159	T101159
CT101162	T101162
CT101163	T101163
CT101165	T101165
CT101166	T101166
CT101168	T101168
CT101169	T101169
CT101172	T101172
CT101174	T101174
CT101176	T101176
CT101177	T101177
CT101179	T101179
CT101183	T101183
CT101185	T101185
CT101188	T101188
CT101192	T101192
CT101196	T101196
CT101201	T101201
CT101202	T101202
CT101203	T101203
CT101205	T101205
CT101206	T101206
CT101209	T101209
CT101212	T101212
CT101213	T101213
CT101215	T101215
CT101216	T101216
CT101217	T101217
CT101218	T101218
CT101220	T101220
CT101221	T101221
CT101225	T101225
CT101228	T101228
CT101232	T101232
CT101234	T101234
CT101236	T101236
CT101238	T101238
CT101241	T101241
CT101245	T101245
CT101246	T101246
CT101249	T101249
CT101251	T101251
CT101257	T101257
CT101258	T101258
CT101259	T101259
CT101264	T101264
CT101268	T101268
CT101271	T101271
CT101274	T101274
CT101278	T101278
CT101280	T101280
CT101281	T101281
CT101284	T101284
CT101288	T101288
CT101289	T101289
CT101291	T101291
CT101293	T101293
CT101294	T101294
CT101298	T101298
CT101300	T101300
CT101301	T101301
CT101303	T101303
CT101304	T101304
CT101306	T101306
CT101308	T101308
CT101310	T101310
