occurrenceID	taxonID
CT100746	T100746
CT100747	T100747
CT100748	T100748
CT100749	T100749
CT100750	T100750
CT100752	T100752
CT100754	T100754
CT100756	T100756
CT100759	T100759
CT100760	T100760
CT100764	T100764
CT100766	T100766
CT100767	T100767
CT100768	T100768
CT100772	T100772
CT100775	T100775
CT100776	T100776
CT100777	T100777
CT100780	T100780
CT100784	T100784
CT100788	T100788
CT100789	T100789
CT100790	T100790
CT100791	T100791
CT100793	T100793
CT100796	T100796
CT100797	T100797
CT100799	T100799
CT100801	T100801
CT100803	T100803
CT100806	T100806
CT100807	T100807
CT100809	T100809
CT100812	T100812
CT100813	T100813
CT100815	T100815
CT100816	T100816
CT100817	T100817
CT100819	T100819
CT100820	T100820
CT100823	T100823
CT100825	T100825
CT100826	T100826
CT100830	T100830
CT100834	T100834
CT100838	T100838
CT100840	T100840
CT100841	T100841
CT100844	T100844
CT100848	T100848
CT100849	T100849
CT100851	T100851
CT100855	T100855
CT100859	T100859
CT100860	T100860
CT100861	T100861
CT100862	T100862
CT100864	T100864
CT100866	T100866
CT100869	T100869
CT100870	T100870
CT100872	T100872
CT100876	T100876
CT100877	T100877
CT100879	T100879
CT100881	T100881
CT100882	T100882
CT100883	T100883
CT100886	T100886
CT100887	T100887
CT100888	T100888
CT100889	T100889
CT100891	T100891
CT100893	T100893
CT100897	T100897
CT100899	T100899
CT100901	T100901
CT100903	T100903
CT100904	T100904
CT100906	T100906
CT100908	T100908
CT100910	T100910
CT100912	T100912
CT100913	T100913
CT100919	T100919
CT100920	T100920
CT100921	T100921
CT100923	T100923
CT100924	T100924
CT100925	T100925
CT100927	T100927
CT100929	T100929
CT100931	T100931
CT100932	T100932
CT100936	T100936
CT100938	T100938
CT100940	T100940
CT100942	T100942
CT100945	T100945
CT100946	T100946
CT100949	T100949
CT100950	T100950
CT100951	T100951
CT100953	T100953
CT100954	T100954
CT100956	T100956
CT100959	T100959
CT100961	T100961
CT100962	T100962
CT100964	T100964
CT100966	T100966
CT100969	T100969
CT100970	T100970
CT100974	T100974
CT100978	T100978
CT100980	T100980
CT100982	T100982
CT100986	T100986
CT100987	T100987
CT100991	T100991
CT100992	T100992
CT100993	T100993
CT100995	T100995
CT100996	T100996
CT100997	T100997
CT100998	T100998
CT100999	T100999
CT101001	T101001
