country	geonames_id	#bird_species	#_bird_obs
Christmas_Island	2078138	116	2853
New_Caledonia	2139685	126	5943
Norfolk_Island	2155115	107	3384
Gibraltar	2411586	87	579
Jersey	3042142	202	7279
Isle_of_Man	3042225	154	3023
Guernsey	3042362	122	1025
Saint_Helena_Ascension_and_Tristan_da_Cunha	3370751	56	251
Bouvet_Island	3371123	5	27
French_Guiana	3381670	474	2588
Saint-Pierre_et_Miquelon	3424932	33	83
Greenland	3425505	79	1741
Falkland_Islands	3474414	132	11679
South_Georgia_and_the_South_Sandwich_Islands	3474415	50	3658
Martinique	3570311	119	1780
Anguilla	3573511	95	8352
Turks_and_Caicos_Islands	3576916	158	10770
British_Virgin_Islands	3577718	49	165
Montserrat	3578097	60	12880
Saint_Martin	3578421	113	4259
Saint_Barthelemy	3578476	63	742
Guadeloupe	3579143	189	21359
Cayman_Islands	3580718	244	54350
French_Polynesia	4030656	143	7855
pitcairn_henderson_ducie_and_oeno_islands	4030699	10	18
Tokelau	4031074	0	0
Wallis_et_Futuna	4034749	24	44
Mariana_Islands	4041468	129	6855
Guam	4043988	92	2711
US_Virgin_Islands	4796775	132	7679
US_Minor_Outlying_Islands	5854968	18	54
Caribbean_Netherlands	7626844	67	246
Kosovo	831053	159	820
Reunion	935317	60	1621
