country_s	#_Records	#_Species	geonames_id
Solomon Islands	11632	1332	2103350
Somalia	11656	3031	51537
South Africa	15461294	50540	953987
South Georgia and the South Sandwich Islands	16982	1367	3474415
South Korea	71077	3733	1835841
South Sudan	1374	536	7909807
Spain	12019423	41918	2510769
Sri Lanka	87793	6556	1227603
Sudan	14833	2277	366755
Suriname	70830	6426	3382998
Swaziland	270246	4239	934841
Sweden	82325554	48848	2661886
Switzerland	1955372	13099	2658434
Syria	22848	2292	163843
Taiwan	1192960	19968	1668284
Tajikistan	7836	1602	1220409
Tanzania	395887	18378	149590
Territory of Heard Island and McDonald Islands	32752	239	1547314
Territory of the French Southern and Antarctic Lands	2947	486	1546748
Thailand	464596	14045	1605651
The Bahamas	220730	6456	3572887
The Gambia	31457	983	2413451
Tibet	55303	4758	1279685
Timor-Leste	3390	1251	1966436
Togo	27070	3501	2363686
Tokelau	1	1	4031074
Tonga	18168	2625	4032283
Trinidad and Tobago	228766	3207	3573591
Tunisia	24147	2972	2464461
Turkey	187094	10269	298795
Turkmenistan	6299	1103	1218197
Turks and Caicos Islands	18517	798	3576916
Tuvalu	15	9	2110297
Uganda	242875	6960	226074
Ukraine	76769	3493	690791
United Arab Emirates	419601	1277	290557
United Kingdom	45224041	49621	2635167
United States	69670659	65561	6252001
Uruguay	45723	3075	3439705
US Minor Outlying Islands	54	18	5854968
US Virgin Islands	9273	788	4796775
Uzbekistan	5822	1233	1512440
Vanuatu	13352	2726	2134431
Vatican City	210	49	3164670
Venezuela	671757	25572	3625428
Vietnam	121700	10642	1562822
Wallis et Futuna	218	71	4034749
Yemen	13581	2415	69543
Zambia	163560	6274	895949
Zimbabwe	322700	7571	878675
Guatemala	499923	13129	3595528
